name,roll,branch,subject,section,password
Ishaan Pandey,MCA001,MCA,MCA_SEM1,A,123
Sneha Malhotra,MCA002,MCA,MCA_SEM1,A,123
Anika Mittal,MCA003,MCA,MCA_SEM1,A,123
Meera Saxena,MCA004,MCA,MCA_SEM1,A,123
Sara Tiwari,MCA005,MCA,MCA_SEM1,A,123
Yash Sharma,MCA006,MCA,MCA_SEM1,A,123
Ananya Tiwari,MCA007,MCA,MCA_SEM1,A,123
Diya Pandey,MCA008,MCA,MCA_SEM1,A,123
Vihaan Tiwari,MCA009,MCA,MCA_SEM1,A,123
Shaurya Kumar,MCA010,MCA,MCA_SEM1,A,123
Kriti Gupta,MCA011,MCA,MCA_SEM1,A,123
Simran Verma,MCA012,MCA,MCA_SEM1,A,123
Priya Malhotra,MCA013,MCA,MCA_SEM1,A,123
Siddharth Malhotra,MCA014,MCA,MCA_SEM1,A,123
Krishna Pandey,MCA015,MCA,MCA_SEM1,A,123
Rahul Saxena,MCA016,MCA,MCA_SEM1,A,123
Dev Chauhan,MCA017,MCA,MCA_SEM1,A,123
Vihaan Jain,MCA018,MCA,MCA_SEM1,A,123
Tanvi Kumar,MCA019,MCA,MCA_SEM1,A,123
Amit Kapoor,MCA020,MCA,MCA_SEM1,A,123
Varun Bansal,MCA021,MCA,MCA_SEM1,A,123
Rahul Mehta,MCA022,MCA,MCA_SEM1,A,123
Vivaan Saxena,MCA023,MCA,MCA_SEM1,A,123
Riya Chopra,MCA024,MCA,MCA_SEM1,A,123
Arjun Pandey,MCA025,MCA,MCA_SEM1,A,123
Aditya Saxena,MCA026,MCA,MCA_SEM1,A,123
Arjun Bansal,MCA027,MCA,MCA_SEM1,A,123
Sai Pandey,MCA028,MCA,MCA_SEM1,A,123
Nikhil Singh,MCA029,MCA,MCA_SEM1,A,123
Sai Rathore,MCA030,MCA,MCA_SEM1,A,123
Yash Saxena,MCA031,MCA,MCA_SEM1,A,123
Amit Mehta,MCA032,MCA,MCA_SEM1,A,123
Ishita Bansal,MCA033,MCA,MCA_SEM1,A,123
Tanvi Chauhan,MCA034,MCA,MCA_SEM1,A,123
Myra Bansal,MCA035,MCA,MCA_SEM1,A,123
Rahul Kapoor,MCA036,MCA,MCA_SEM1,A,123
Nikhil Chopra,MCA037,MCA,MCA_SEM1,A,123
Diya Sharma,MCA038,MCA,MCA_SEM1,A,123
Aadhya Pandey,MCA039,MCA,MCA_SEM1,A,123
Vihaan Bansal,MCA040,MCA,MCA_SEM1,A,123
Nikhil Saxena,MCA041,MCA,MCA_SEM1,A,123
Ananya Mehta,MCA042,MCA,MCA_SEM1,A,123
Kunal Verma,MCA043,MCA,MCA_SEM1,A,123
Simran Jain,MCA044,MCA,MCA_SEM1,A,123
Aarav Sharma,MCA045,MCA,MCA_SEM1,A,123
Anika Singh,MCA046,MCA,MCA_SEM1,A,123
Diya Mehta,MCA047,MCA,MCA_SEM1,A,123
Neha Jain,MCA048,MCA,MCA_SEM1,A,123
Anika Verma,MCA049,MCA,MCA_SEM1,A,123
Rahul Rathore,MCA050,MCA,MCA_SEM1,A,123
Neha Chauhan,MCA051,MCA,MCA_SEM1,A,123
Aarav Pandey,MCA052,MCA,MCA_SEM1,A,123
Rashmi Yadav,MCA053,MCA,MCA_SEM1,A,123
Sneha Pandey,MCA054,MCA,MCA_SEM1,A,123
Ira Jain,MCA055,MCA,MCA_SEM1,A,123
Kavya Pandey,MCA056,MCA,MCA_SEM1,A,123
Sneha Sharma,MCA057,MCA,MCA_SEM1,A,123
Anika Sharma,MCA058,MCA,MCA_SEM1,A,123
Sai Bansal,MCA059,MCA,MCA_SEM1,A,123
Dev Pandey,MCA060,MCA,MCA_SEM1,A,123
Simran Kumar,MCA061,MCA,MCA_SEM1,B,123
Rohan Saxena,MCA062,MCA,MCA_SEM1,B,123
Myra Singh,MCA063,MCA,MCA_SEM1,B,123
Aadhya Mittal,MCA064,MCA,MCA_SEM1,B,123
Reyansh Jain,MCA065,MCA,MCA_SEM1,B,123
Myra Rathore,MCA066,MCA,MCA_SEM1,B,123
Sai Saxena,MCA067,MCA,MCA_SEM1,B,123
Reyansh Bansal,MCA068,MCA,MCA_SEM1,B,123
Amit Agarwal,MCA069,MCA,MCA_SEM1,B,123
Neha Gupta,MCA070,MCA,MCA_SEM1,B,123
Rashmi Sharma,MCA071,MCA,MCA_SEM1,B,123
Shaurya Chauhan,MCA072,MCA,MCA_SEM1,B,123
Aditya Tiwari,MCA073,MCA,MCA_SEM1,B,123
Vivaan Chauhan,MCA074,MCA,MCA_SEM1,B,123
Rohan Yadav,MCA075,MCA,MCA_SEM1,B,123
Riya Pandey,MCA076,MCA,MCA_SEM1,B,123
Yash Agarwal,MCA077,MCA,MCA_SEM1,B,123
Aryan Tiwari,MCA078,MCA,MCA_SEM1,B,123
Kunal Yadav,MCA079,MCA,MCA_SEM1,B,123
Yash Jain,MCA080,MCA,MCA_SEM1,B,123
Anika Bansal,MCA081,MCA,MCA_SEM1,B,123
Varun Kapoor,MCA082,MCA,MCA_SEM1,B,123
Simran Sharma,MCA083,MCA,MCA_SEM1,B,123
Ira Mittal,MCA084,MCA,MCA_SEM1,B,123
Kavya Gupta,MCA085,MCA,MCA_SEM1,B,123
Kavya Jain,MCA086,MCA,MCA_SEM1,B,123
Meera Kumar,MCA087,MCA,MCA_SEM1,B,123
Ananya Gupta,MCA088,MCA,MCA_SEM1,B,123
Reyansh Malhotra,MCA089,MCA,MCA_SEM1,B,123
Rohan Sharma,MCA090,MCA,MCA_SEM1,B,123
Rashmi Chopra,MCA091,MCA,MCA_SEM1,B,123
Yash Gupta,MCA092,MCA,MCA_SEM1,B,123
Rahul Pandey,MCA093,MCA,MCA_SEM1,B,123
Ira Chauhan,MCA094,MCA,MCA_SEM1,B,123
Ishaan Saxena,MCA095,MCA,MCA_SEM1,B,123
Ishaan Bansal,MCA096,MCA,MCA_SEM1,B,123
Aryan Saxena,MCA097,MCA,MCA_SEM1,B,123
Krishna Kumar,MCA098,MCA,MCA_SEM1,B,123
Kunal Kumar,MCA099,MCA,MCA_SEM1,B,123
Reyansh Singh,MCA100,MCA,MCA_SEM1,B,123
Diya Saxena,MCA101,MCA,MCA_SEM1,B,123
Siddharth Kumar,MCA102,MCA,MCA_SEM1,B,123
Aadhya Jain,MCA103,MCA,MCA_SEM1,B,123
Rahul Agarwal,MCA104,MCA,MCA_SEM1,B,123
Amit Chopra,MCA105,MCA,MCA_SEM1,B,123
Sara Joshi,MCA106,MCA,MCA_SEM1,B,123
Aarav Rathore,MCA107,MCA,MCA_SEM1,B,123
Pooja Singh,MCA108,MCA,MCA_SEM1,B,123
Meera Tiwari,MCA109,MCA,MCA_SEM1,B,123
Aditya Pandey,MCA110,MCA,MCA_SEM1,B,123
Sai Kumar,MCA111,MCA,MCA_SEM1,B,123
Riya Singh,MCA112,MCA,MCA_SEM1,B,123
Dev Kumar,MCA113,MCA,MCA_SEM1,B,123
Kavya Joshi,MCA114,MCA,MCA_SEM1,B,123
